,모델,Recall,Precision
187,피크 직접분류,0.9935897435897436,0.14194139194139194
188,피크 직접분류,0.9935897435897436,0.14207149404216315
189,피크 직접분류,0.9935897435897436,0.14220183486238533
190,피크 직접분류,0.9935897435897436,0.1423324150596878
191,피크 직접분류,0.9935897435897436,0.14246323529411764
192,피크 직접분류,0.9935897435897436,0.14259429622815087
193,피크 직접분류,0.9935897435897436,0.1427255985267035
194,피크 직접분류,0.9935897435897436,0.14285714285714285
195,피크 직접분류,0.9935897435897436,0.1429889298892989
196,피크 직접분류,0.9935897435897436,0.14312096029547552
197,피크 직접분류,0.9935897435897436,0.14325323475046212
198,피크 직접분류,0.9935897435897436,0.14338575393154487
199,피크 직접분류,0.9935897435897436,0.14351851851851852
200,피크 직접분류,0.9935897435897436,0.1437847866419295
201,피크 직접분류,0.9935897435897436,0.14391829155060354
202,피크 직접분류,0.9935897435897436,0.14405204460966542
203,피크 직접분류,0.9935897435897436,0.14418604651162792
204,피크 직접분류,0.9935897435897436,0.14432029795158285
205,피크 직접분류,0.9935897435897436,0.14445479962721341
206,피크 직접분류,0.9935897435897436,0.14458955223880596
207,피크 직접분류,0.9935897435897436,0.14472455648926238
208,피크 직접분류,0.9935897435897436,0.14485981308411214
209,피크 직접분류,0.9935897435897436,0.1449953227315248
210,피크 직접분류,0.9935897435897436,0.1451310861423221
211,피크 직접분류,0.9935897435897436,0.14526710402999063
212,피크 직접분류,0.9935897435897436,0.14540337711069418
213,피크 직접분류,0.9935897435897436,0.14553990610328638
214,피크 직접분류,0.9935897435897436,0.14567669172932332
215,피크 직접분류,0.9935897435897436,0.1458137347130762
216,피크 직접분류,0.9935897435897436,0.14595103578154425
217,피크 직접분류,0.9935897435897436,0.1460885956644675
218,피크 직접분류,0.9935897435897436,0.14622641509433962
219,피크 직접분류,0.9935897435897436,0.14636449480642116
220,피크 직접분류,0.9935897435897436,0.14650283553875237
221,피크 직접분류,0.9935897435897436,0.1466414380321665
222,피크 직접분류,0.9935897435897436,0.14678030303030304
223,피크 직접분류,0.9935897435897436,0.14691943127962084
224,피크 직접분류,0.9935897435897436,0.14705882352941177
225,피크 직접분류,0.9935897435897436,0.14719848053181386
226,피크 직접분류,0.9935897435897436,0.1473384030418251
227,피크 직접분류,0.9935897435897436,0.14747859181731685
228,피크 직접분류,0.9935897435897436,0.14761904761904762
229,피크 직접분류,0.9935897435897436,0.14775977121067682
230,피크 직접분류,0.9935897435897436,0.14790076335877864
231,피크 직접분류,0.9935897435897436,0.14804202483285578
232,피크 직접분류,0.9935897435897436,0.14818355640535372
233,피크 직접분류,0.9935897435897436,0.14832535885167464
234,피크 직접분류,0.9935897435897436,0.14846743295019157
235,피크 직접분류,0.9935897435897436,0.1486097794822627
236,피크 직접분류,0.9935897435897436,0.14875239923224567
237,피크 직접분류,0.9935897435897436,0.148895292987512
